sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
MM,MARA,MANDT,Client,MANDT,MANDT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,contact.role,0.90,contact.role:0.90 | account.id:0.80 | activity id:0.80,client id,1.00,client id:1.00 | primary key:1.00 | record id:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,MATNR,Material Number,MATNR,MATNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.erp_material_number,material.number,material.erp_material_number,1.00,material.erp_material_number:1.00 | material.id:1.00 | material.number:1.00,bom header material,1.00,bom header material:1.00 | material id:1.00 | material number:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,ERSDA,Created On,ERSDA,DATUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",document.created_date,,document.created_date,1.00,document.created_date:1.00,created date,1.00,created date:1.00 | document.created_date:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,CREATED_AT_TIME,Time of Creation,CREATED_AT_TIME,TIME,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,document.created_date,0.60,document.created_date:0.60,created date,0.70,created date:0.70,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ERNAM,Name of Person Responsible for Creating the Object,ERNAM,USNAM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",audit.created_by,,audit.created_by,1.00,audit.created_by:1.00 | contact.name:0.60,audit.created_by,1.00,audit.created_by:1.00 | created by:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,LAEDA,Date of Last Change,LAEDA,DATUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,AENAM,Name of Person Who Changed Object,AENAM,USNAM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",audit.changed_by,,audit.changed_by,1.00,audit.changed_by:1.00 | contact.name:0.60,audit.changed_by,1.00,audit.changed_by:1.00 | modified by:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,VPSTA,Maintenance status of complete material,VPSTA,PSTAT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,product.lifecycle_status,0.60,product.lifecycle_status:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,PSTAT,Maintenance status,PSTAT_D,PSTAT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,LVORM,Flag Material for Deletion at Client Level,LVOMA,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.deletion_mark,,material.deletion_mark,1.00,material.deletion_mark:1.00,deletion mark,1.00,deletion mark:1.00 | material.deletion_mark:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,MTART,Material Type,MTART,MTART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.type_code,material.type_code,material.type_code,1.00,material.type_code:1.00,material type,1.00,material type:1.00 | material.type_code:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,MBRSH,Industry Sector,MBRSH,MBRSH,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,MATKL,Material Group,MATKL,MATKL,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.raw_material_group_id,material.raw_material_group_id,material.raw_material_group_id,1.00,material.raw_material_group_id:1.00 | material_group.id:1.00 | product.category:0.80,material group,1.00,material group:1.00 | material.raw_material_group_id:1.00 | material_group.id:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,BISMT,Old material number,BISMT,BISMT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.engineering_part_number,material.engineering_part_number,material.engineering_part_number,1.00,material.engineering_part_number:1.00 | material.number:0.60 | material.erp_material_number:0.50,engineering part number,1.00,engineering part number:1.00 | material.engineering_part_number:1.00 | material number:0.55,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,MEINS,Base Unit of Measure,MEINS,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.base_uom_code,base_uom.code,material.base_uom_code,1.00,material.base_uom_code:1.00 | base_uom.code:0.90 | uom.code:0.60,base unit,1.00,base unit:1.00 | base unit of measure:1.00 | base_uom.code:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,BSTME,Purchase Order Unit of Measure,BSTME,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.base_uom_code,0.60,material.base_uom_code:0.60 | order_unit.code:0.60 | uom.code:0.60,purchase unit,1.00,purchase unit:1.00 | unit of measure:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ZEINR,Document number (without document management system),DZEINR,CHAR22,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.drawing_number,,material.drawing_number,1.00,material.drawing_number:1.00 | account.owner_employee_id:0.60 | account.industry:0.50,drawing number,1.00,drawing number:1.00 | material.drawing_number:1.00 | account.owner_employee_id:0.55,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,ZEIAR,Document type (without Document Management system),DZEIAR,ZEIAR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,document.type,0.60,document.type:0.60 | purchase_order.document_type:0.50,document type,0.55,document type:0.55 | po type:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ZEIVR,Document version (without Document Management system),DZEIVR,VERSI,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,version.number,0.50,version.number:0.50,document version,0.55,document version:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ZEIFO,Page format of document (without Document Management system),DZEIFO,DINFO,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,AESZN,Document change number (without document management system),AESZN,AENUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,account.owner_employee_id,0.60,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,account.owner_employee_id,0.55,account.owner_employee_id:0.55 | document number:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,BLATT,Page number of document (without Document Management system),BLATT,BLATT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,account.owner_employee_id,0.60,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,account.owner_employee_id,0.55,account.owner_employee_id:0.55 | document number:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,BLANZ,Number of sheets (without Document Management system),BLANZ,NUM3,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,account.owner_employee_id,0.60,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,account.owner_employee_id,0.55,account.owner_employee_id:0.55 | document number:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FERTH,Production/inspection memo,FERTH,FERTH,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FORMT,Page Format of Production Memo,FORMT,DINFO,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,GROES,Size/dimensions,GROES,CHAR32,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,size,1.00,size:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
MM,MARA,WRKST,Basic Material,WRKST,WRKST,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,NORMT,Industry Standard Description (such as ANSI or ISO),NORMT,NORMT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,LABOR,Laboratory/design office,LABOR,LABOR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,EKWSL,Purchasing Value Key,EKWSL,EKWSL,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,activity id,0.60,activity id:0.60 | company.id:0.60 | invoice.amount:0.60,activity id,0.55,activity id:0.55 | company.id:0.55 | gross amount:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,BRGEW,Gross Weight,BRGEW,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.gross_weight,material.gross_weight,material.gross_weight,1.00,material.gross_weight:1.00,gross weight,1.00,gross weight:1.00 | material.gross_weight:1.00 | weight:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,NTGEW,Net Weight,NTGEW,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.net_weight,material.net_weight,material.net_weight,1.00,material.net_weight:1.00,material.net_weight,1.00,material.net_weight:1.00 | net weight:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,GEWEI,Unit of Weight,GEWEI,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.weight_unit_code,,material.weight_unit_code,1.00,material.weight_unit_code:1.00,material.weight_unit_code,1.00,material.weight_unit_code:1.00 | weight unit:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,VOLUM,Volume,VOLUM,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",shipment.volume,invoice.amount,shipment.volume,1.00,shipment.volume:1.00 | invoice.amount:0.90 | absence.start_date:0.70,shipment.volume,1.00,shipment.volume:1.00 | volume:1.00 | invoice.amount:0.90,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,VOLEH,Volume Unit,VOLEH,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",volume.unit_code,volume.unit_code,volume.unit_code,1.00,volume.unit_code:1.00,volume unit,1.00,volume unit:1.00 | volume.unit_code:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,BEHVO,Container requirements,BEHVO,BEHVO,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,RAUBE,Storage conditions,RAUBE,RAUBE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,storage conditions,0.90,storage conditions:0.90,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
MM,MARA,TEMPB,Temperature conditions indicator,TEMPB,TEMPB,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,DISST,Low-Level Code,DISST,DISST,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,TRAGR,Transportation Group,TRAGR,TRAGR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,picking.quantity,1.00,picking.quantity:1.00,picking.quantity,1.00,picking.quantity:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,STOFF,Hazardous material number,STOFF,STOFF,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.number,0.60,material.number:0.60 | material.erp_material_number:0.50 | material.id:0.50,hazardous material,0.55,hazardous material:0.55 | material number:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,SPART,Division,SPART,SPART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",division.id,division.id,division.id,1.00,division.id:1.00 | department.id:0.70 | employee.department:0.70,division.id,1.00,division.id:1.00 | department:0.90,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,KUNNR,Competitor,WETTB,KUNNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",customer.id,,customer.id,1.00,customer.id:1.00,customer id,1.00,customer id:1.00 | customer number:1.00 | customer.id:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,EANNR,European Article Number (EAN) - obsolete!!!!!,EANNR,CHAR13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.number,0.60,material.number:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,WESCH,Quantity: Number of GR/GI slips to be printed,WESCH,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,goods_receipt.quantity,0.60,goods_receipt.quantity:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,BWVOR,Procurement rule,BWVOR,BWVOR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,BWSCL,Source of Supply,BWSCL,BQSCL,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SAISO,Season Category,SAISO,SAISO,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,ETIAR,Label type,ETIAR,ETIAR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,ETIFO,Label form,ETIFO,ETIFO,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,ENTAR,Deactivated,DUMMYENTAR,CHAR1,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,EAN11,International Article Number (EAN/UPC),EAN11,EAN11,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.number,0.60,material.number:0.60,barcode,1.00,barcode:1.00 | ean:1.00,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,NUMTP,Category of International Article Number (EAN),NUMTP,NUMTP,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.number,0.60,material.number:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,LAENG,Length,LAENG,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",opportunity.probability,opportunity.probability,opportunity.probability,1.00,opportunity.probability:1.00,length,1.00,length:1.00 | opportunity.probability:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,BREIT,Width,BREIT,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,width,1.00,width:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
MM,MARA,HOEHE,Height,HOEHE,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,height,1.00,height:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
MM,MARA,MEABM,Unit of Dimension for Length/Width/Height,MEABM,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,PRDHA,Product Hierarchy,PRODH_D,PRODH,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",product.category,product.category,product.category,1.00,product.category:1.00,product.category,1.00,product.category:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,AEKLK,Stock Transfer Net Change Costing,CK_AEKLK,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,stock transfer,0.55,stock transfer:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
MM,MARA,CADKZ,CAD Indicator,CADKZ,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,QMPUR,QM in Procurement Is Active,QMPUR,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,account.status,0.60,account.status:0.60,active flag,0.55,active flag:0.55 | is active:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ERGEW,Allowed packaging weight,ERGEW,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,ERGEI,Unit of weight (allowed packaging weight),ERGEI,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,handling_unit.id,0.60,handling_unit.id:0.60 | material.weight_unit_code:0.60,weight unit,0.55,weight unit:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ERVOL,Allowed packaging volume,ERVOL,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,ERVOE,Volume unit (allowed packaging volume),ERVOE,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,handling_unit.id,0.60,handling_unit.id:0.60 | volume.unit_code:0.60,volume unit,0.55,volume unit:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,GEWTO,Excess Weight Tolerance for Handling unit,GEWTO,PRZ21,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.weight_unit_code,1.00,material.weight_unit_code:1.00,material.weight_unit_code,1.00,material.weight_unit_code:1.00 | handling unit:0.55 | license plate number:0.55,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,VOLTO,Excess Volume Tolerance of the Handling Unit,VOLTO,PRZ21,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,volume.unit_code,1.00,volume.unit_code:1.00,volume.unit_code,1.00,volume.unit_code:1.00 | handling unit:0.55 | license plate number:0.55,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,VABME,Variable Purchase Order Unit Active,VABME,VABME,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,order_unit.code,1.00,order_unit.code:1.00,order_unit.code,1.00,order_unit.code:1.00 | purchase unit:0.55,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,KZREV,Revision Level Has Been Assigned to the Material,KZREV,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.drawing_revision,0.60,material.drawing_revision:0.60 | account.owner_employee_id:0.50,account owner,0.55,account owner:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,KZKFG,Configurable Material,KZKFG,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,requisition.line_item_number,1.00,requisition.line_item_number:1.00,requisition.line_item_number,1.00,requisition.line_item_number:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,XCHPF,Batch Management Requirement Indicator,XCHPF,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.batch_managed_flag,,material.batch_managed_flag,1.00,material.batch_managed_flag:1.00,batch managed flag,1.00,batch managed flag:1.00 | material.batch_managed_flag:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,VHART,Packaging Material Type,VHIART,TRATY,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.type_code,0.60,material.type_code:0.60,material type,0.55,material type:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FUELG,Maximum level (by volume),FUELG,DEC3,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,STFAK,Stacking factor,STFAK,INT2,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,MAGRV,Material Group: Packaging Materials,MAGRV,MAGRV,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.raw_material_group_id,0.60,material.raw_material_group_id:0.60 | material_group.id:0.60 | product.category:0.50,material group,0.55,material group:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,BEGRU,Authorization Group,BEGRU,BEGRU,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,DATAB,Valid-From Date,DATAB,DATUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",validity.start_date,quote.valid_from_date,validity.start_date,1.00,validity.start_date:1.00 | quote.valid_from_date:0.90,purchase_contract.valid_from_date,1.00,purchase_contract.valid_from_date:1.00 | quote.valid_from_date:1.00 | validity.start_date:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,LIQDT,Deletion date,LIQDT,DATUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SAISJ,Season Year,SAISJ,CJAHR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,PLGTP,Price Band Category,PLGTP,PLGTP,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,invoice.amount,0.60,invoice.amount:0.60,gross amount,0.55,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,MLGUT,Empties Bill of Material,W_MITLEERG,FLAG,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,EXTWG,External Material Group,EXTWG,EXTWG,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.raw_material_group_id,0.60,material.raw_material_group_id:0.60 | material_group.id:0.60 | product.category:0.50,material group,0.55,material group:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,SATNR,Cross-Plant Configurable Material,SATNR,MATNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,requisition.line_item_number,1.00,requisition.line_item_number:1.00,requisition.line_item_number,1.00,requisition.line_item_number:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,ATTYP,Material Category,ATTYP,ATTYP,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,KZKUP,Co-Product,KZKUPMAT,FLAG,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,KZNFM,Indicator: The material has a follow-up material,KZNFM,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,PMATA,Pricing Reference Material,PMATN,MATNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,activity id,0.60,activity id:0.60 | company.id:0.60 | material.id:0.60,activity id,0.55,activity id:0.55 | company.id:0.55 | material id:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,MSTAE,Cross-Plant Material Status,MSTAE,MMSTA,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,product.lifecycle_status,0.60,product.lifecycle_status:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
