sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
MM,MARA,DFS_SENSITIVITY_KEY,Sensitivity for Characteristics,DFS_SENSITIVITY_KEY,DFS_SENSITIVITY_KEY,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,activity id,0.60,activity id:0.60 | company.id:0.60 | absence.start_date:0.50,activity id,0.55,activity id:0.55 | company.id:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,DFS_MFRP2,Long Manufacturer Part Number,DFS_MFRP2,DFS_MFRP2,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,manufacturer.id,0.60,manufacturer.id:0.60 | material.manufacturer_part_number:0.60 | material.number:0.60,manufacturer part number,0.55,manufacturer part number:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,OVLPN,Overlength Part Number,ADSPC_OPN,ADSPC_OPN,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,material.number,0.60,material.number:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ADSPC_SPC,Spare Part Class Code,ADSPC_SPC,ADSPC_SPC,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,VARID,GUID Variable Object Identification,DI_VARID,SYSUUID,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,MSBOOKPARTNO,Manufacturer Book Part Number,DIMP_DRM_MSBOOKPART,MATNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,manufacturer.id,0.60,manufacturer.id:0.60 | material.manufacturer_part_number:0.60 | material.number:0.60,manufacturer part number,0.55,manufacturer part number:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,TOLERANCE_TYPE,Tolerance Type,LMD_MDE_TOLERANCE_TYPE,LMD_MDE_TOLERANCE_TYPE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,DPCBT,Single-Unit Batch Def. Value,MILL_DPCBT,MILL_DPCBT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,invoice.amount,0.60,invoice.amount:0.60 | price.unit:0.60 | price_unit_quantity:0.60,gross amount,0.55,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,XGRDT,Goods Receipt to Posted Single-Unit Batch Allowed,MILL_XGRDT,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,goods receipt,0.55,goods receipt:0.55,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
MM,MARA,IMATN,FFF class,IMATN,MATNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,PICNUM,Supersession chain number,PIC_PICNUM_SUS,PIC_PICNUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,BSTAT,Creation Status - Seasonal Procurement,WRFBSTAT,WRFBSTAT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,vendor.status,1.00,vendor.status:1.00,vendor.status,1.00,vendor.status:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,COLOR_ATINN,Internal Charactieristic Number for Color Characteristics,WRF_COLOR_ATINN,ATINN,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SIZE1_ATINN,Internal Char. Number for Characteristics for Main Sizes,WRF_SIZE1_ATINN,ATINN,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SIZE2_ATINN,Internal Char. Number for Characteristics for Second Sizes,WRF_SIZE2_ATINN,ATINN,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,COLOR,Characteristic Value for Colors of Variants,WRF_COLOR,WRF_ATWRT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,invoice.amount,0.60,invoice.amount:0.60,color,1.00,color:1.00 | gross amount:0.55 | invoice amount:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,SIZE1,Characteristic Value for Main Sizes of Variants,WRF_SIZE1,WRF_ATWRT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,invoice.amount,0.60,invoice.amount:0.60,gross amount,0.55,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,SIZE2,Characteristic Value for Second Size for Variants,WRF_SIZE2,WRF_ATWRT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,invoice.amount,0.60,invoice.amount:0.60,gross amount,0.55,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FREE_CHAR,Characteristic Value for Evaluation Purposes,WRF_FREE_CHAR,WRF_ATWRT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,invoice.amount,0.60,invoice.amount:0.60,gross amount,0.55,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,CARE_CODE,"Care Codes (such as Washing Code, Ironing Code, etc.)",WRF_CARE_CODE,WRF_CARE_CODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,BRAND_ID,Brand,WRF_BRAND_ID,WRF_BRAND_ID,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,asset.manufacturer_name,0.80,asset.manufacturer_name:0.80 | make_or_buy.indicator:0.80 | manufacturer.id:0.80,brand,1.00,brand:1.00 | brand name:0.90 | activity id:0.55,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,FIBER_CODE1,Fiber Code for Textiles (Component 1),WRF_FIBER_CODE_1,WRF_FIBER_CODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FIBER_PART1,Percentage Share of Fiber (Component 1),WRF_FIBER_PART_1,WRF_FIBER_PART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,bom.component,0.60,bom.component:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FIBER_CODE2,Fiber Code for Textiles (Component 2),WRF_FIBER_CODE_2,WRF_FIBER_CODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FIBER_PART2,Percentage Share of Fiber (Component 2),WRF_FIBER_PART_2,WRF_FIBER_PART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,bom.component,0.60,bom.component:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FIBER_CODE3,Fiber Code for Textiles (Component 3),WRF_FIBER_CODE_3,WRF_FIBER_CODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FIBER_PART3,Percentage Share of Fiber (Component 3),WRF_FIBER_PART_3,WRF_FIBER_PART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,bom.component,0.60,bom.component:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FIBER_CODE4,Fiber Code for Textiles (Component 4),WRF_FIBER_CODE_4,WRF_FIBER_CODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FIBER_PART4,Percentage Share of Fiber (Component 4),WRF_FIBER_PART_4,WRF_FIBER_PART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,bom.component,0.60,bom.component:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FIBER_CODE5,Fiber Code for Textiles (Component 5),WRF_FIBER_CODE_5,WRF_FIBER_CODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FIBER_PART5,Percentage Share of Fiber (Component 5),WRF_FIBER_PART_5,WRF_FIBER_PART,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,bom.component,0.60,bom.component:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,FASHGRD,Fashion Grade,FASHGRD,FASHGRD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MAKT,MANDT,Client,MANDT,MANDT,Material Descriptions Multi-language material short text (MAKTX). MM Materials Mgmt,,,contact.role,0.90,contact.role:0.90 | account.id:0.80 | activity id:0.80,client id,1.00,client id:1.00 | primary key:1.00 | record id:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MAKT,MATNR,Material Number,MATNR,MATNR,Material Descriptions Multi-language material short text (MAKTX). MM Materials Mgmt,material.erp_material_number,material.number,material.erp_material_number,1.00,material.erp_material_number:1.00 | material.id:1.00 | material.number:1.00,bom header material,1.00,bom header material:1.00 | material id:1.00 | material number:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MAKT,SPRAS,Language Key,SPRAS,SPRAS,Material Descriptions Multi-language material short text (MAKTX). MM Materials Mgmt,customer.language_code,,customer.language_code,1.00,customer.language_code:1.00 | activity id:0.60 | company.id:0.60,customer.language_code,1.00,customer.language_code:1.00 | language:1.00 | activity id:0.55,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MAKT,MAKTX,Material Description,MAKTX,TEXT40,Material Descriptions Multi-language material short text (MAKTX). MM Materials Mgmt,,,address.city,0.80,address.city:0.80 | material.name:0.80 | product.name:0.80,material description,1.00,material description:1.00 | product name:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MAKT,MAKTG,Material Description in Uppercase for Matchcodes,MAKTG,CHAR40,Material Descriptions Multi-language material short text (MAKTX). MM Materials Mgmt,address.city,,address.city,1.00,address.city:1.00,address.city,1.00,address.city:1.00 | material description:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARC,MANDT,Client,MANDT,MANDT,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,contact.role,0.90,contact.role:0.90 | account.id:0.80 | activity id:0.80,client id,1.00,client id:1.00 | primary key:1.00 | record id:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARC,MATNR,Material Number,MATNR,MATNR,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",material.erp_material_number,material.number,material.erp_material_number,1.00,material.erp_material_number:1.00 | material.id:1.00 | material.number:1.00,bom header material,1.00,bom header material:1.00 | material id:1.00 | material number:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARC,WERKS,Plant,WERKS_D,WERKS,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",plant.id,plant.id,plant.id,1.00,plant.id:1.00 | location.id:0.80,material,1.00,material:1.00 | personnel area:1.00 | plant:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARC,PSTAT,Maintenance status,PSTAT_D,PSTAT,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARC,LVORM,Flag Material for Deletion at Plant Level,LVOWK,XFELD,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",material.deletion_mark,,material.deletion_mark,1.00,material.deletion_mark:1.00,deletion mark,1.00,deletion mark:1.00 | material.deletion_mark:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARC,BWTTY,Valuation Category,BWTTY_D,BWTTY,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,product.category,1.00,product.category:1.00,product.category,1.00,product.category:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARC,XCHAR,Batch management indicator (internal),XCHAR,XFELD,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,material.batch_managed_flag,1.00,material.batch_managed_flag:1.00,material.batch_managed_flag,1.00,material.batch_managed_flag:1.00 | batch managed flag:0.55,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARC,MMSTA,Plant-Specific Material Status,MMSTA,MMSTA,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",product.lifecycle_status,,product.lifecycle_status,1.00,product.lifecycle_status:1.00 | supplier.region_code:0.80,product status,1.00,product status:1.00 | product.lifecycle_status:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARC,MMSTD,Date from Which the Plant-Specific Material Status Is Valid,MMSTD,DATUM,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,account.status,0.60,account.status:0.60 | product.lifecycle_status:0.60 | quote.valid_from_date:0.60,account.status,0.55,account.status:0.55 | address valid from:0.55 | leave from:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARC,MAABC,ABC Indicator,MAABC,MAABC,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARC,KZKRI,Indicator: Critical part,KZKRI,XFELD,"Material Master — Plant Data Plant-specific data (MRP type, lot size, planner). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
