sap_module,sap_table,sap_field,sap_description,classification_bucket,description_canonical_concept_id,top_canonical_concept_id,top_canonical_matches,top_knowledge_matches,review_reason
SD,LIKP,UVPIK,Picking/Putaway Incompletion Status (Header),weak_canonical_candidate,,picking.status,picking.status:0.60,,weak_canonical_candidate
SD,LIKP,UVPIS,Picking/Putaway Incompletion Status (All Items),weak_canonical_candidate,,picking.status,picking.status:0.60,,weak_canonical_candidate
SD,LIKP,UVVLK,Delivery Incompletion Status (Header),weak_canonical_candidate,,delivery.status,delivery.status:0.60,,weak_canonical_candidate
SD,LIKP,UVVLS,Delivery Incompletion Status (All Items),weak_canonical_candidate,,delivery.status,delivery.status:0.60,,weak_canonical_candidate
SD,LIKP,UVWAK,Goods Movement Incompletion Status (Header),unmapped,,,,,unmapped
SD,LIKP,UVWAS,Goods Movement Incompletion Status (All Items),unmapped,,,,,unmapped
SD,LIKP,VESTK,Handling Unit Placed in Stock,knowledge_only,,,,handling unit:0.55 | license plate number:0.55,knowledge_only
SD,LIKP,VLSTK,Distribution Status (Decentralized Warehouse Processing),unmapped,,,,,unmapped
SD,LIKP,WBSTK,Goods Movement Status (All Items),unmapped,,,,,unmapped
SD,LIKP,UVK01,Customer reserves 1: Header status,weak_canonical_candidate,,account.status,account.status:0.60 | customer.account_status:0.60,,weak_canonical_candidate
SD,LIKP,UVK02,Customer reserves 2: Header status,weak_canonical_candidate,,account.status,account.status:0.60 | customer.account_status:0.60,,weak_canonical_candidate
SD,LIKP,UVK03,Customer reserves 3: Header status,weak_canonical_candidate,,account.status,account.status:0.60 | customer.account_status:0.60,,weak_canonical_candidate
SD,LIKP,UVK04,Custmer reserves 4: Header status,unmapped,,,,,unmapped
SD,LIKP,UVK05,Customer reserves 5: Header status,weak_canonical_candidate,,account.status,account.status:0.60 | customer.account_status:0.60,,weak_canonical_candidate
SD,LIKP,UVS01,Customer reserves 1: Sum of all items,unmapped,,,,,unmapped
SD,LIKP,UVS02,Customer reserves 2: Sum of all items,unmapped,,,,,unmapped
SD,LIKP,UVS03,Customer reserves 3: Sum of all items,unmapped,,,,,unmapped
SD,LIKP,UVS04,Customer reserves 4: Sum of all items,unmapped,,,,,unmapped
SD,LIKP,UVS05,Customer reserves 5: Sum of all items,unmapped,,,,,unmapped
SD,LIKP,TOTAL_PCSTA,Total Product Marketability Check Status,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60 | product.lifecycle_status:0.60 | supplier.region_code:0.50,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
SD,LIKP,TOTAL_DGSTA,Total Dangerous Goods Check Status,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | hazardous material:0.55 | invoice amount:0.55,weak_canonical_candidate
SD,LIKP,TOTAL_SDSSTA,Total Safety Data Sheet Check Status,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
SD,LIKP,TOTAL_ARC_STATUS,Excise Tax Total ARC Status (on Delivery Header Level),weak_canonical_candidate,,delivery.status,delivery.status:0.60 | invoice.amount:0.60 | payroll.tax_amount:0.50,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
SD,LIKP,ICO_FKIVK,Intercompany Billing Status (All Items),unmapped,,,,,unmapped
SD,LIKP,TOTAL_EMCST,Embargo Status (All Items),weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
SD,LIKP,TOTAL_SLCST,Screening Status (All Items),weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
SD,LIKP,TOTAL_LCCST,Legal Control Status,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
SD,LIKP,/SAPMP/LBASK,DTUC Status,unmapped,,,,,unmapped
SD,LIKP,INCOV,Incoterms Version,unmapped,,,,,unmapped
SD,LIKP,INCO2_L,Incoterms Location 1,weak_canonical_candidate,,incoterm.location,incoterm.location:0.60,,weak_canonical_candidate
SD,LIKP,INCO3_L,Incoterms Location 2,weak_canonical_candidate,,incoterm.location,incoterm.location:0.60,,weak_canonical_candidate
SD,LIKP,INCO2_KEY,Incoterm Location 1 - Place of Destination,weak_canonical_candidate,,activity id,activity id:0.60 | address.city:0.60 | address.country:0.60,activity id:0.55 | address.city:0.55 | address.country:0.55,weak_canonical_candidate
SD,LIKP,INCO3_KEY,Incoterm Location 2 - Place of Delivery,weak_canonical_candidate,,activity id,activity id:0.60 | address.city:0.60 | address.country:0.60,activity id:0.55 | address.city:0.55 | address.country:0.55,weak_canonical_candidate
SD,LIKP,INCO4_KEY,Incoterm - Deviating Place of Destination,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | incoterm.code:0.60,activity id:0.55 | company.id:0.55 | destination:0.55,weak_canonical_candidate
SD,LIKP,OID_EXTBOL,External bill of lading,knowledge_only,,,,bill of lading:0.55,knowledge_only
SD,LIKP,OID_MISCDL,Miscellaneous delivery number,weak_canonical_candidate,,delivery.id,delivery.id:0.60,,weak_canonical_candidate
SD,LIKP,EXT_BUS_SYST_ID,External Business System ID,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | external_reference.id:0.60,external id:0.70 | activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,LIKP,SITKZ_DB,Specification for Issuing Valuated Stock in Transit,knowledge_only,,,,stock in transit:0.55,knowledge_only
SD,LIKP,TM_ADV_SHIP_RECV,Advanced Shipping and Receiving Relevance,unmapped,,,,,unmapped
SD,LIKP,TM_WHSE_BLOCK,Warehouse Execution Block,unmapped,,,,,unmapped
SD,LIKP,LGLC_LIC_IND,Legal Control License Indicator,unmapped,,,,,unmapped
SD,LIKP,CREATION_TS,UTC Time Stamp in Long Form (YYYYMMDDhhmmssmmmuuun),unmapped,,,,,unmapped
SD,LIKP,CHANGED_TS,UTC Time Stamp in Long Form (YYYYMMDDhhmmssmmmuuun),unmapped,,,,,unmapped
SD,LIKP,CORR_IND,Quantity Correction After Goods Receipt in Advanced SR,weak_canonical_candidate,,goods_receipt.quantity,goods_receipt.quantity:0.60,goods receipt:0.55 | receipt quantity:0.55,weak_canonical_candidate
SD,LIKP,/BEV1/LULEINH,Loading Units,unmapped,,,,,unmapped
SD,LIKP,/BEV1/RPFAESS,Number Category 1,unmapped,,,,,unmapped
SD,LIKP,/BEV1/RPKIST,Number Category 2,unmapped,,,,,unmapped
SD,LIKP,/BEV1/RPCONT,Number Category 3,unmapped,,,,,unmapped
SD,LIKP,/BEV1/RPSONST,Number Category 4,unmapped,,,,,unmapped
SD,LIKP,/BEV1/RPFLGNR,Loading Sequence Number in the Tour,unmapped,,,,,unmapped
SD,LIKP,IDT_CUR_EVTLOC,Last Notified Point of the Route from Tracking,unmapped,,,,,unmapped
SD,LIKP,IDT_CUR_EVTQUA,Indicates Arrival or Departure at the Current Point,unmapped,,,,,unmapped
SD,LIKP,IDT_CUR_EVTTST,Event Time Stamp for the Tracking Message at Current Point,unmapped,,,,,unmapped
SD,LIKP,IDT_CUR_ESTLOC,Base Point for Time Estimation from Tracking,unmapped,,,,,unmapped
SD,LIKP,IDT_CUR_ESTQUA,Arrival/Departure for Time Estimation,unmapped,,,,,unmapped
SD,LIKP,IDT_CUR_ESTTST,Base Date for Estimation of the Delivery Date in Tracking,knowledge_only,,,,delivery date:0.55,knowledge_only
SD,LIKP,IDT_CUR_WRKQUA,Various Qualifiers of the Tracking Entry,unmapped,,,,,unmapped
SD,LIKP,IDT_PRE_EVTLOC,Prior Route Point From Tracking,unmapped,,,,,unmapped
SD,LIKP,IDT_PRE_EVTQUA,Indicates the Arrival and Departure at Prior Point,unmapped,,,,,unmapped
SD,LIKP,IDT_PRE_EVTTST,Event Time Stamp for the Tracking Message at Prior Point,unmapped,,,,,unmapped
SD,LIKP,IDT_PRE_ESTLOC,Prior Base Point for Time Estimation from Tracking,unmapped,,,,,unmapped
SD,LIKP,IDT_PRE_ESTQUA,Arrival/Departure for Time Estimation,unmapped,,,,,unmapped
SD,LIKP,IDT_PRE_ESTTST,Base Date for Estimation of the Delivery Date in Tracking,knowledge_only,,,,delivery date:0.55,knowledge_only
SD,LIKP,IDT_PRE_WRKQUA,Various Qualifiers of the Prior Tracking Entry,unmapped,,,,,unmapped
SD,LIKP,IDT_REF_ESTLOC,Reference Point for Time Estimation from Tracking,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | shipment.tracking_id:0.60,activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,LIKP,IDT_REF_ESTQUA,Indicates Arrival/Departure at the Reference Point,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | absence.start_date:0.50,activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,LIKP,IDT_REF_ESTTST,Base Date for Estimation of the Delivery Date in Tracking,weak_canonical_candidate,,absence.start_date,absence.start_date:0.60 | activity id:0.60 | company.id:0.60,absence.start_date:0.55 | activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,LIKP,IDT_FIRM_LFDAT,Commitment Level of Delivery Date and Time,weak_canonical_candidate,,fulfillment.due_date,fulfillment.due_date:0.60 | accounting.posting_date:0.50 | goods_receipt.date:0.50,delivery date:0.55 | time entry date:0.55 | transaction date:0.55,weak_canonical_candidate
SD,LIKP,IDT_DOCNUM,IDoc number,unmapped,,,,,unmapped
SD,LIKP,BORGR_GRP,Inbound Dely Group: Multi-Level Goods Receipt Automotive,knowledge_only,,,,goods receipt:0.55,knowledge_only
SD,LIKP,KBNKZ,Kanban Indicator,unmapped,,,,,unmapped
SD,LIKP,FSH_TRANSACTION,Transaction Number,unmapped,,,,,unmapped
SD,LIKP,FSH_VAS_LAST_ITEM,Last VAS Item Number,strong_canonical_candidate,,material.number,material.number:0.75,,strong_canonical_candidate
SD,LIKP,FSH_VAS_CG,Value-Added Services Customer Group,weak_canonical_candidate,,customer_group.id,customer_group.id:0.60 | invoice.amount:0.60 | purchasing_group.id:0.60,customer group:0.55 | gross amount:0.55 | invoice amount:0.55,weak_canonical_candidate
SD,LIKP,RFM_PSST_GROUP,PSST Group,weak_canonical_candidate,,activity id,activity id:0.60 | benefit_plan.id:0.60 | company.id:0.60,activity id:0.55 | benefit_plan.id:0.55 | company.id:0.55,weak_canonical_candidate
SD,LIKP,EXT_ACT_DATE_TOCD,External Actual Transfer of Control Date,unmapped,,,,,unmapped
SD,LIKP,EXT_PLAN_DATE_TOCD,External Planned Transfer of Control Date,knowledge_only,,,,expected delivery:0.55,knowledge_only
SD,LIKP,EXT_TZONE_TOCD,Time zone for external Transfer of Control Date,knowledge_only,,,,time entry date:0.55 | timezone:0.55,knowledge_only
SD,LIKP,INT_ACT_DATE_TOCD,Internal Actual Transfer of Control Date,unmapped,,,,,unmapped
SD,LIKP,INT_PLAN_DATE_TOCD,Internal Planned Transfer of Control Date,knowledge_only,,,,expected delivery:0.55,knowledge_only
SD,LIKP,INT_TZONE_TOCD,Time zone for internal Transfer of Control Date,knowledge_only,,,,time entry date:0.55 | timezone:0.55,knowledge_only
SD,LIKP,JIT_RLVNT,JIT-Relevant,unmapped,,,,,unmapped
SD,LIKP,OIO_HOLD,Indicator: Hold Delivery Onshore,unmapped,,,,,unmapped
SD,LIKP,OIO_HOLD_ORIG,Flag: Delivery was Originally Held at Base Location,unmapped,,,,,unmapped
SD,LIPS,MANDT,Client,strong_canonical_candidate,,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id:1.00 | primary key:1.00 | record id:1.00,strong_canonical_candidate
SD,LIPS,PSTYV,Delivery Item Category,weak_canonical_candidate,,product.category,product.category:0.60,,weak_canonical_candidate
SD,LIPS,ERZET,Entry time,unmapped,,,,,unmapped
SD,LIPS,MATWA,Material Entered,unmapped,,,,,unmapped
SD,LIPS,LICHN,Supplier Batch Number,weak_canonical_candidate,,batch.id,batch.id:0.60 | inventory_lot.id:0.60 | supplier.id:0.60,batch number:0.55,weak_canonical_candidate
SD,LIPS,PRDH_UNI_BATDET_PARNT_NODID,Node ID,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | absence.start_date:0.50,activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,LIPS,LFIMG,Actual quantity delivered (in sales units),knowledge_only,,,,quantity shipped:1.00 | actual quantity:0.55 | quantity delivered:0.55,knowledge_only
SD,LIPS,UMVKZ,Numerator (factor) for conversion of sales quantity into SKU,unmapped,,,,,unmapped
SD,LIPS,UMVKN,Denominator (divisor) for conversion of sales Qty into SKU,unmapped,,,,,unmapped
SD,LIPS,KZTLF,Partial delivery at item level,unmapped,,,,,unmapped
SD,LIPS,UEBTK,Unlimited Overdelivery Allowed,unmapped,,,,,unmapped
SD,LIPS,UEBTO,Overdelivery Tolerance,unmapped,,,,,unmapped
SD,LIPS,UNTTO,Underdelivery Tolerance,unmapped,,,,,unmapped
SD,LIPS,CHSPL,Batch split allowed,unmapped,,,,,unmapped
SD,LIPS,FAKSP,Billing Block,unmapped,,,,,unmapped
SD,LIPS,MBDAT,Material Staging/Availability Date,weak_canonical_candidate,,position.start_date,position.start_date:0.60,position.start_date:0.55,weak_canonical_candidate
SD,LIPS,LGMNG,Actual quantity delivered in stockkeeping units,knowledge_only,,,,actual quantity:0.55 | quantity delivered:0.55,knowledge_only
SD,LIPS,ARKTX,Short text for sales order item,weak_canonical_candidate,,sales_order.id,sales_order.id:0.60,,weak_canonical_candidate
SD,LIPS,VBELV,Originating Document,unmapped,,,,,unmapped
SD,LIPS,POSNV,Originating Item,unmapped,,,,,unmapped
SD,LIPS,VBTYV,SD Document Category,weak_canonical_candidate,,document.type,document.type:0.60,,weak_canonical_candidate
SD,LIPS,VGSYS,Logical System in the Preceding Document,unmapped,,,,,unmapped
SD,LIPS,VGBEL,Document Number of Reference Document,weak_canonical_candidate,,account.owner_employee_id,account.owner_employee_id:0.60 | activity id:0.60 | company.id:0.60,account.owner_employee_id:0.55 | activity id:0.55 | company.id:0.55,weak_canonical_candidate
